metric,participant_code,status,control,masked,delta_masked_minus_control
first_key_latency_ms,P034,retained,559.3000000000466,467.4000000000233,-91.90000000002328
first_key_latency_ms,P035,retained,862.9500000000698,530.9999999998836,-331.95000000018626
first_key_latency_ms,P036,retained,386.94999999995343,1091.3999999999069,704.4499999999534
first_key_latency_ms,P037,retained,714.8999999999069,534.5999999998603,-180.30000000004657
first_key_latency_ms,P038,retained,919.0,1111.0,192.0
first_key_latency_ms,P039,retained,715.25,963.3000000002794,248.0500000002794
first_key_latency_ms,P040,retained,383.04999999981374,550.9999999990687,167.94999999925494
first_key_latency_ms,P041,retained,563.0999999996275,595.1500000003725,32.05000000074506
first_key_latency_ms,P042,retained,1747.6500000003725,1606.449999999255,-141.2000000011176
first_key_latency_ms,P043,retained,595.1500000003725,446.8999999994412,-148.25000000093132
first_key_latency_ms,P044,retained,1018.9000000003725,1295.199999999255,276.2999999988824
first_key_latency_ms,P045,retained,838.9499999992549,1202.7000000001863,363.7500000009313
first_key_latency_ms,P046,retained,718.5999999996275,1243.3999999994412,524.7999999998137
first_key_latency_ms,P047,retained,355.34999999962747,379.25,23.90000000037253
first_key_latency_ms,P048,retained,283.25,503.2000000011176,219.9500000011176
first_key_latency_ms,P050,retained,1370.3499999996275,1102.8999999994412,-267.45000000018626
first_key_latency_ms,P051,retained,351.59999999869615,647.3499999996275,295.7500000009313
first_key_latency_ms,P052,retained,1471.199999999255,1799.5499999988824,328.34999999962747
first_key_latency_ms,P053,retained,327.65000000037253,295.5,-32.15000000037253
first_key_latency_ms,P054,retained,743.6500000003725,791.6500000003725,48.0
first_key_latency_ms,P055,retained,471.44999999925494,402.90000000037253,-68.54999999888241
first_key_latency_ms,P056,retained,1107.2500000018626,1543.0999999996275,435.8499999977648
first_key_latency_ms,P057,retained,775.1000000000931,631.550000000163,-143.54999999993015
first_key_latency_ms,P058,retained,532.0,623.6000000000931,91.60000000009313
first_key_latency_ms,P059,retained,343.55000000004657,894.9499999999534,551.3999999999069
first_key_latency_ms,P060,retained,931.25,515.2500000002328,-415.99999999976717
first_key_latency_ms,P061,retained,303.30000000004657,487.4000000001397,184.10000000009313
first_key_latency_ms,P062,retained,566.6000000000931,743.0,176.39999999990687
first_key_latency_ms,P064,retained,575.4999999995343,587.0,11.500000000465661
first_key_latency_ms,P065,retained,754.8999999999069,1447.5,692.6000000000931
first_key_latency_ms,P066,retained,570.5,943.75,373.25
first_key_latency_ms,P067,retained,298.9999999998836,362.70000000018626,63.70000000030268
first_key_latency_ms,P068,retained,334.0999999998603,849.9499999999534,515.8500000000931
first_key_latency_ms,P069,retained,468.19999999995343,502.4000000001397,34.200000000186265
first_key_latency_ms,P070,retained,431.55000000004657,305.45000000018626,-126.0999999998603
first_key_latency_ms,P071,retained,267.19999999995343,829.5,562.3000000000466
first_key_latency_ms,P072,retained,582.9499999999534,451.10000000009313,-131.8499999998603
first_key_latency_ms,P073,retained,239.14999999990687,282.99999999953434,43.84999999962747
first_key_latency_ms,P074,retained,453.5500000002794,473.1999999997206,19.649999999441206
first_key_latency_ms,P075,retained,459.64999999990687,705.3500000000931,245.70000000018626
first_key_latency_ms,P076,retained,446.5500000002794,609.5999999996275,163.04999999934807
first_key_latency_ms,P077,retained,399.2499999990687,350.2999999988824,-48.950000000186265
first_key_latency_ms,P079,retained,202.79999999981374,466.84999999962747,264.04999999981374
first_key_latency_ms,P080,retained,1174.3499999996275,429.90000000037253,-744.4499999992549
first_key_latency_ms,P081,retained,956.4499999992549,611.7000000001863,-344.7499999990687
first_key_latency_ms,P082,retained,811.8999999994412,1078.2999999998137,266.40000000037253
first_key_latency_ms,P083,retained,346.25,337.30000000074506,-8.949999999254942
first_key_latency_ms,P084,retained,445.0,566.4000000003725,121.40000000037253
first_key_latency_ms,P085,retained,449.3500000005588,245.30000000074506,-204.04999999981374
first_key_latency_ms,P086,retained,307.1500000022352,302.55000000074506,-4.600000001490116
first_key_latency_ms,P087,retained,310.7999999988824,910.8499999996275,600.0500000007451
first_key_latency_ms,P088,retained,404.0,1062.4000000003725,658.4000000003725
first_key_latency_ms,P089,retained,322.84999999962747,347.44999999925494,24.59999999962747
first_key_latency_ms,P090,retained,695.3000000007451,353.2000000011176,-342.09999999962747
first_key_latency_ms,P091,retained,430.3500000014901,454.84999999962747,24.499999998137355
first_key_latency_ms,P092,retained,361.59999999962747,411.59999999962747,50.0
first_key_latency_ms,P093,retained,516.8000000007451,595.75,78.94999999925494
first_key_latency_ms,P094,retained,357.75,314.80000000074506,-42.94999999925494
first_key_latency_ms,P095,retained,1442.8000000000175,1545.600000000035,102.80000000001746
first_key_latency_ms,P096,retained,669.7000000000698,413.55000000004657,-256.1500000000233
first_key_latency_ms,P097,retained,518.6000000000931,613.3000000000466,94.69999999995343
first_key_latency_ms,P098,retained,1072.9500000000698,627.3499999998603,-445.60000000020955
first_key_latency_ms,P099,retained,637.3000000000466,116.3499999998603,-520.9500000001863
first_key_latency_ms,P100,retained,273.9499999997206,261.0,-12.949999999720603
first_key_latency_ms,P101,retained,702.75,545.4000000001397,-157.3499999998603
first_key_latency_ms,P102,retained,365.75,274.9000000001397,-90.8499999998603
first_key_latency_ms,P103,retained,389.44999999995343,375.69999999995343,-13.75
first_key_latency_ms,P104,retained,382.65000000037253,379.54999999981374,-3.1000000005587935
first_key_latency_ms,P105,retained,1074.4500000001863,606.4499999997206,-468.00000000046566
first_key_latency_ms,P106,retained,333.84999999962747,420.79999999981374,86.95000000018626
